timestamp,hypnogram_level,hypnogram_class
1594803162000,4,awake
1594803462000,2,light
1594803762000,1,deep
1594804062000,1,deep
1594804362000,1,deep
1594804662000,1,deep
1594804962000,1,deep
1594805262000,1,deep
1594805562000,1,deep
1594805862000,1,deep
1594806162000,1,deep
1594806462000,1,deep
1594806762000,1,deep
1594807062000,1,deep
1594807362000,1,deep
1594807662000,3,REM
1594807962000,3,REM
1594808262000,3,REM
1594808562000,2,light
1594808862000,1,deep
1594809162000,1,deep
1594809462000,1,deep
1594809762000,1,deep
1594810062000,1,deep
1594810362000,1,deep
1594810662000,1,deep
1594810962000,1,deep
1594811262000,1,deep
1594811562000,1,deep
1594811862000,3,REM
1594812162000,3,REM
1594812462000,3,REM
1594812762000,3,REM
1594813062000,2,light
1594813362000,2,light
1594813662000,2,light
1594813962000,2,light
1594814262000,2,light
1594814562000,2,light
1594814862000,2,light
1594815162000,2,light
1594815462000,2,light
1594815762000,2,light
1594816062000,1,deep
1594816362000,2,light
1594816662000,2,light
1594816962000,3,REM
1594817262000,3,REM
1594817562000,3,REM
1594817862000,3,REM
1594818162000,3,REM
1594818462000,3,REM
1594818762000,3,REM
1594819062000,2,light
1594819362000,2,light
1594819662000,2,light
1594819962000,2,light
1594820262000,1,deep
1594820562000,1,deep
1594820862000,1,deep
1594821162000,1,deep
1594821462000,1,deep
1594821762000,1,deep
1594822062000,3,REM
1594822362000,3,REM
1594822662000,3,REM
1594822962000,3,REM
1594823262000,3,REM
1594823562000,3,REM
1594823862000,2,light
1594824162000,2,light
1594824462000,2,light
1594824762000,2,light
1594825062000,2,light
1594825362000,3,REM
1594825662000,3,REM
1594825962000,3,REM
1594826262000,4,awake
1594889042000,4,awake
1594889342000,2,light
1594889642000,2,light
1594889942000,1,deep
1594890242000,1,deep
1594890542000,1,deep
1594890842000,1,deep
1594891142000,1,deep
1594891442000,1,deep
1594891742000,1,deep
1594892042000,1,deep
1594892342000,1,deep
1594892642000,1,deep
1594892942000,1,deep
1594893242000,1,deep
1594893542000,3,REM
1594893842000,2,light
1594894142000,2,light
1594894442000,2,light
1594894742000,2,light
1594895042000,2,light
1594895342000,1,deep
1594895642000,1,deep
1594895942000,1,deep
1594896242000,1,deep
1594896542000,2,light
1594896842000,2,light
1594897142000,2,light
1594897442000,3,REM
1594897742000,3,REM
1594898042000,3,REM
1594898342000,3,REM
1594898642000,3,REM
1594898942000,2,light
1594899242000,2,light
1594899542000,1,deep
1594899842000,1,deep
1594900142000,1,deep
1594900442000,2,light
1594900742000,2,light
1594901042000,2,light
1594901342000,1,deep
1594901642000,2,light
1594901942000,2,light
1594902242000,2,light
1594902542000,2,light
1594902842000,2,light
1594903142000,2,light
1594903442000,2,light
1594903742000,2,light
1594904042000,3,REM
1594904342000,3,REM
1594904642000,3,REM
1594904942000,2,light
1594905242000,2,light
1594905542000,3,REM
1594905842000,3,REM
1594906142000,3,REM
1594906442000,3,REM
1594906742000,3,REM
1594907042000,3,REM
1594907342000,3,REM
1594907642000,3,REM
1594907942000,2,light
1594908242000,2,light
1594908542000,2,light
1594908842000,4,awake
1594909142000,3,REM
1594909442000,3,REM
1594909742000,3,REM
1594910042000,3,REM
1594910342000,2,light
1594910642000,3,REM
1594910942000,3,REM
1594911242000,3,REM
1594911542000,3,REM
1594911842000,2,light
1594912142000,2,light
1594912442000,2,light
1594912742000,2,light
1594913042000,2,light
1594913342000,4,awake
1594913642000,4,awake
1594913942000,4,awake
1594914242000,4,awake
1594914542000,4,awake
1594914842000,4,awake
1594915142000,4,awake
1594973249000,4,awake
1594973549000,4,awake
1594973849000,4,awake
1594974149000,1,deep
1594974449000,2,light
1594974749000,2,light
1594975049000,1,deep
1594975349000,1,deep
1594975649000,1,deep
1594975949000,1,deep
1594976249000,1,deep
1594976549000,1,deep
1594976849000,1,deep
1594977149000,1,deep
1594977449000,1,deep
1594977749000,1,deep
1594978049000,1,deep
1594978349000,1,deep
1594978649000,2,light
1594978949000,3,REM
1594979249000,3,REM
1594979549000,2,light
1594979849000,2,light
1594980149000,2,light
1594980449000,2,light
1594980749000,1,deep
1594981049000,2,light
1594981349000,2,light
1594981649000,2,light
1594981949000,2,light
1594982249000,2,light
1594982549000,1,deep
1594982849000,1,deep
1594983149000,1,deep
1594983449000,1,deep
1594983749000,3,REM
1594984049000,3,REM
1594984349000,3,REM
1594984649000,3,REM
1594984949000,2,light
1594985249000,2,light
1594985549000,1,deep
1594985849000,1,deep
1594986149000,1,deep
1594986449000,2,light
1594986749000,2,light
1594987049000,2,light
1594987349000,1,deep
1594987649000,1,deep
1594987949000,1,deep
1594988249000,1,deep
1594988549000,2,light
1594988849000,2,light
1594989149000,2,light
1594989449000,2,light
1594989749000,2,light
1594990049000,2,light
1594990349000,2,light
1594990649000,2,light
1594990949000,2,light
1594991249000,2,light
1594991549000,1,deep
1594991849000,1,deep
1594992149000,2,light
1594992449000,3,REM
1594992749000,3,REM
1594993049000,3,REM
1594993349000,3,REM
1594993649000,3,REM
1594993949000,3,REM
1594994249000,3,REM
1594994549000,3,REM
1594994849000,3,REM
1594995149000,2,light
1594995449000,2,light
1594995749000,2,light
1594996049000,2,light
1594996349000,2,light
1594996649000,2,light
