timestamp,hypnogram_level,hypnogram_class
1584168649000,2,light
1584168949000,2,light
1584169249000,2,light
1584169549000,2,light
1584169849000,1,deep
1584170149000,1,deep
1584170449000,1,deep
1584170749000,1,deep
1584171049000,1,deep
1584171349000,1,deep
1584171649000,1,deep
1584171949000,1,deep
1584172249000,1,deep
1584172549000,1,deep
1584172849000,3,REM
1584173149000,3,REM
1584173449000,3,REM
1584173749000,3,REM
1584174049000,1,deep
1584174349000,2,light
1584174649000,1,deep
1584174949000,2,light
1584175249000,2,light
1584175549000,1,deep
1584175849000,1,deep
1584176149000,1,deep
1584176449000,1,deep
1584176749000,1,deep
1584177049000,1,deep
1584177349000,1,deep
1584177649000,1,deep
1584177949000,2,light
1584178249000,2,light
1584178549000,3,REM
1584178849000,3,REM
1584179149000,2,light
1584179449000,2,light
1584179749000,2,light
1584180049000,2,light
1584180349000,1,deep
1584180649000,1,deep
1584180949000,1,deep
1584181249000,1,deep
1584181549000,1,deep
1584181849000,1,deep
1584182149000,2,light
1584182449000,2,light
1584182749000,2,light
1584183049000,3,REM
1584183349000,3,REM
1584183649000,3,REM
1584183949000,3,REM
1584184249000,3,REM
1584184549000,4,awake
1584184849000,4,awake
1584185149000,4,awake
1584185449000,2,light
1584185749000,2,light
1584186049000,2,light
1584186349000,2,light
1584186649000,2,light
1584186949000,2,light
1584187249000,2,light
1584187549000,2,light
1584187849000,2,light
1584188149000,2,light
1584188449000,2,light
1584188749000,3,REM
1584189049000,3,REM
1584189349000,3,REM
1584189649000,3,REM
1584189949000,2,light
1584190249000,3,REM
1584190549000,2,light
1584190849000,3,REM
1584191149000,3,REM
1584191449000,2,light
1584191749000,2,light
1584192049000,2,light
1584192349000,2,light
1584192649000,2,light
1584192949000,2,light
1584193249000,2,light
1584193549000,2,light
1584193849000,2,light
1584194149000,3,REM
1584194449000,3,REM
1584194749000,3,REM
1584195049000,3,REM
1584195349000,3,REM
1584195649000,3,REM
1584195949000,3,REM
1584196249000,2,light
1584196549000,2,light
1584196849000,3,REM
1584197149000,2,light
