timestamp,hypnogram_level,hypnogram_class
1594882533000,4,awake
1594882833000,2,light
1594883133000,2,light
1594883433000,2,light
1594883733000,2,light
1594884033000,2,light
1594884333000,1,deep
1594884633000,2,light
1594884933000,2,light
1594885233000,2,light
1594885533000,2,light
1594885833000,2,light
1594886133000,2,light
1594886433000,2,light
1594886733000,3,REM
1594887033000,1,deep
1594887333000,2,light
1594887633000,2,light
1594887933000,2,light
1594888233000,1,deep
1594888533000,1,deep
1594888833000,1,deep
1594889133000,1,deep
1594889433000,1,deep
1594889733000,1,deep
1594890033000,1,deep
1594890333000,1,deep
1594890633000,1,deep
1594890933000,1,deep
1594891233000,1,deep
1594891533000,1,deep
1594891833000,3,REM
1594892133000,4,awake
1594892433000,2,light
1594892733000,2,light
1594893033000,2,light
1594893333000,3,REM
1594893633000,2,light
1594893933000,2,light
1594894233000,2,light
1594894533000,1,deep
1594894833000,1,deep
1594895133000,1,deep
1594895433000,1,deep
1594895733000,1,deep
1594896033000,2,light
1594896333000,2,light
1594896633000,3,REM
1594896933000,3,REM
1594897233000,1,deep
1594897533000,3,REM
1594897833000,2,light
1594898133000,2,light
1594898433000,2,light
1594898733000,2,light
1594899033000,1,deep
1594899333000,1,deep
1594899633000,1,deep
1594899933000,1,deep
1594900233000,1,deep
1594900533000,2,light
1594900833000,3,REM
1594901133000,2,light
1594901433000,2,light
1594901733000,2,light
1594902033000,2,light
1594902333000,3,REM
1594902633000,3,REM
1594902933000,3,REM
1594903233000,4,awake
1594903533000,4,awake
1594903833000,3,REM
1594904133000,4,awake
1594904433000,2,light
1594904733000,4,awake
1594905033000,4,awake
1594905333000,4,awake
1594972319000,4,awake
1594972619000,4,awake
1594972919000,2,light
1594973219000,1,deep
1594973519000,2,light
1594973819000,1,deep
1594974119000,1,deep
1594974419000,1,deep
1594974719000,1,deep
1594975019000,2,light
1594975319000,2,light
1594975619000,1,deep
1594975919000,4,awake
1594976219000,2,light
1594976519000,2,light
1594976819000,2,light
1594977119000,2,light
1594977419000,2,light
1594977719000,1,deep
1594978019000,1,deep
1594978319000,1,deep
1594978619000,2,light
1594978919000,2,light
1594979219000,1,deep
1594979519000,1,deep
1594979819000,1,deep
1594980119000,3,REM
1594980419000,1,deep
1594980719000,3,REM
1594981019000,2,light
1594981319000,2,light
1594981619000,2,light
1594981919000,2,light
1594982219000,2,light
1594982519000,2,light
1594982819000,2,light
1594983119000,1,deep
1594983419000,1,deep
1594983719000,1,deep
1594984019000,1,deep
1594984319000,1,deep
1594984619000,2,light
1594984919000,2,light
1594985219000,2,light
1594985519000,4,awake
1594985819000,2,light
1594986119000,2,light
1594986419000,2,light
1594986719000,3,REM
1594987019000,1,deep
1594987319000,3,REM
1594987619000,3,REM
1594987919000,3,REM
1594988219000,2,light
1594988519000,2,light
1594988819000,2,light
1594989119000,2,light
1594989419000,2,light
1594989719000,1,deep
1594990019000,1,deep
1594990319000,1,deep
1594990619000,1,deep
