timestamp,hypnogram_level,hypnogram_class
1580287141000,4,awake
1580287441000,4,awake
1580287741000,4,awake
1580288041000,4,awake
1580288341000,4,awake
1580288641000,4,awake
1580288941000,4,awake
1580289241000,2,light
1580289541000,2,light
1580289841000,2,light
1580290141000,2,light
1580290441000,2,light
1580290741000,2,light
1580291041000,2,light
1580291341000,2,light
1580291641000,1,deep
1580291941000,1,deep
1580292241000,2,light
1580292541000,2,light
1580292841000,1,deep
1580293141000,1,deep
1580293441000,2,light
1580293741000,2,light
1580294041000,3,REM
1580294341000,3,REM
1580294641000,2,light
1580294941000,2,light
1580295241000,2,light
1580295541000,2,light
1580295841000,2,light
1580296141000,2,light
1580296441000,2,light
1580296741000,2,light
1580297041000,2,light
1580297341000,2,light
1580297641000,2,light
1580297941000,1,deep
1580298241000,1,deep
1580298541000,2,light
1580298841000,2,light
1580299141000,3,REM
1580299441000,3,REM
1580299741000,3,REM
1580300041000,3,REM
1580300341000,2,light
1580300641000,2,light
1580300941000,2,light
1580301241000,2,light
1580301541000,2,light
1580301841000,2,light
1580302141000,2,light
1580302441000,1,deep
1580302741000,1,deep
1580303041000,1,deep
1580303341000,2,light
1580303641000,2,light
1580303941000,2,light
1580304241000,2,light
1580304541000,2,light
1580304841000,1,deep
1580305141000,2,light
1580305441000,2,light
1580305741000,2,light
1580306041000,2,light
1580306341000,2,light
1580306641000,2,light
1580306941000,2,light
1580307241000,2,light
1580307541000,3,REM
1580307841000,3,REM
1580308141000,3,REM
1580308441000,3,REM
1580308741000,3,REM
1580309041000,3,REM
1580309341000,3,REM
1580309641000,3,REM
1580309941000,3,REM
1580310241000,3,REM
1580310541000,3,REM
1580310841000,2,light
1580311141000,2,light
1580311441000,2,light
1580311741000,4,awake
1580384998000,4,awake
1580385298000,3,REM
1580385598000,4,awake
1580385898000,4,awake
1580386198000,2,light
1580386498000,2,light
1580386798000,2,light
1580387098000,1,deep
1580387398000,1,deep
1580387698000,2,light
1580387998000,1,deep
1580388298000,1,deep
1580388598000,2,light
1580388898000,2,light
1580389198000,1,deep
1580389498000,1,deep
1580389798000,1,deep
1580390098000,1,deep
1580390398000,1,deep
1580390698000,1,deep
1580390998000,2,light
1580391298000,2,light
1580391598000,2,light
1580391898000,2,light
1580392198000,3,REM
1580392498000,1,deep
1580392798000,1,deep
1580393098000,1,deep
1580393398000,1,deep
1580393698000,1,deep
1580393998000,1,deep
1580394298000,1,deep
1580394598000,1,deep
1580394898000,2,light
1580395198000,2,light
1580395498000,2,light
1580395798000,2,light
1580396098000,2,light
1580396398000,2,light
1580396698000,2,light
1580396998000,3,REM
1580397298000,3,REM
1580397598000,3,REM
1580397898000,3,REM
1580398198000,3,REM
1580398498000,3,REM
1580398798000,3,REM
1580399098000,2,light
1580399398000,3,REM
1580399698000,3,REM
1580399998000,3,REM
1580400298000,3,REM
1580400598000,3,REM
1580400898000,3,REM
1580401198000,2,light
1580401498000,2,light
1580401798000,2,light
1580402098000,2,light
1580402398000,2,light
1580402698000,2,light
1580402998000,2,light
1580403298000,2,light
1580403598000,2,light
1580403898000,1,deep
1580404198000,2,light
1580404498000,2,light
1580404798000,3,REM
1580405098000,3,REM
1580405398000,3,REM
1580405698000,3,REM
1580405998000,3,REM
1580406298000,3,REM
1580406598000,4,awake
1580406898000,4,awake
1580407198000,4,awake
1580469259000,4,awake
1580469559000,4,awake
1580469859000,4,awake
1580470159000,4,awake
1580470459000,4,awake
1580470759000,2,light
1580471059000,2,light
1580471359000,1,deep
1580471659000,1,deep
1580471959000,1,deep
1580472259000,2,light
1580472559000,2,light
1580472859000,2,light
1580473159000,2,light
1580473459000,1,deep
1580473759000,1,deep
1580474059000,1,deep
1580474359000,1,deep
1580474659000,2,light
1580474959000,1,deep
1580475259000,1,deep
1580475559000,1,deep
1580475859000,1,deep
1580476159000,1,deep
1580476459000,1,deep
1580476759000,1,deep
1580477059000,1,deep
1580477359000,1,deep
1580477659000,4,awake
1580477959000,4,awake
1580478259000,2,light
1580478559000,2,light
1580478859000,2,light
1580479159000,2,light
1580479459000,2,light
1580479759000,2,light
1580480059000,2,light
1580480359000,2,light
1580480659000,2,light
1580480959000,2,light
1580481259000,2,light
1580481559000,2,light
1580481859000,2,light
1580482159000,2,light
1580482459000,2,light
1580482759000,2,light
1580483059000,2,light
1580483359000,2,light
1580483659000,2,light
1580483959000,2,light
1580484259000,2,light
1580484559000,2,light
1580484859000,2,light
1580485159000,2,light
1580485459000,2,light
1580485759000,2,light
1580486059000,2,light
1580486359000,2,light
1580486659000,2,light
1580486959000,2,light
1580487259000,2,light
1580487559000,2,light
1580487859000,3,REM
1580488159000,3,REM
1580488459000,3,REM
1580488759000,3,REM
1580489059000,3,REM
1580489359000,2,light
1580489659000,2,light
1580489959000,2,light
1580490259000,2,light
1580490559000,2,light
1580490859000,2,light
1580491159000,2,light
1580491459000,2,light
1580491759000,2,light
1580492059000,3,REM
1580492359000,3,REM
1580492659000,3,REM
1580492959000,3,REM
1580493259000,3,REM
1580493559000,1,deep
1580493859000,3,REM
1580494159000,3,REM
1580494459000,3,REM
1580494759000,3,REM
1580495059000,3,REM
1580495359000,3,REM
1580495659000,4,awake
1580495959000,4,awake
1580496259000,4,awake
1580563830000,4,awake
1580564130000,4,awake
1580564430000,4,awake
1580564730000,4,awake
1580565030000,2,light
1580565330000,1,deep
1580565630000,1,deep
1580565930000,1,deep
1580566230000,4,awake
1580566530000,4,awake
1580566830000,2,light
1580567130000,1,deep
1580567430000,1,deep
1580567730000,1,deep
1580568030000,1,deep
1580568330000,1,deep
1580568630000,1,deep
1580568930000,1,deep
1580569230000,1,deep
1580569530000,1,deep
1580569830000,4,awake
1580570130000,3,REM
1580570430000,3,REM
1580570730000,3,REM
1580571030000,3,REM
1580571330000,2,light
1580571630000,2,light
1580571930000,2,light
1580572230000,2,light
1580572530000,1,deep
1580572830000,1,deep
1580573130000,1,deep
1580573430000,2,light
1580573730000,1,deep
1580574030000,1,deep
1580574330000,1,deep
1580574630000,1,deep
1580574930000,2,light
1580575230000,2,light
1580575530000,2,light
1580575830000,2,light
1580576130000,2,light
1580576430000,3,REM
1580576730000,2,light
1580577030000,2,light
1580577330000,2,light
1580577630000,2,light
1580577930000,2,light
1580578230000,2,light
1580578530000,2,light
1580578830000,2,light
1580579130000,2,light
1580579430000,2,light
1580579730000,2,light
1580580030000,2,light
1580580330000,2,light
1580580630000,2,light
1580580930000,1,deep
1580581230000,1,deep
1580581530000,3,REM
1580581830000,3,REM
1580582130000,3,REM
1580582430000,3,REM
1580582730000,3,REM
1580583030000,3,REM
1580583330000,2,light
1580583630000,2,light
1580583930000,2,light
1580584230000,1,deep
1580584530000,1,deep
1580584830000,1,deep
1580585130000,2,light
1580585430000,2,light
1580585730000,2,light
1580586030000,1,deep
1580586330000,1,deep
1580586630000,3,REM
1580586930000,4,awake
1580587230000,4,awake
1580652453000,4,awake
1580652753000,4,awake
1580653053000,4,awake
1580653353000,4,awake
1580653653000,2,light
1580653953000,2,light
1580654253000,4,awake
1580654553000,4,awake
1580654853000,4,awake
1580655153000,2,light
1580655453000,2,light
1580655753000,2,light
1580656053000,2,light
1580656353000,1,deep
1580656653000,1,deep
1580656953000,1,deep
1580657253000,2,light
1580657553000,1,deep
1580657853000,1,deep
1580658153000,1,deep
1580658453000,1,deep
1580658753000,1,deep
1580659053000,3,REM
1580659353000,3,REM
1580659653000,3,REM
1580659953000,3,REM
1580660253000,3,REM
1580660553000,2,light
1580660853000,2,light
1580661153000,1,deep
1580661453000,2,light
1580661753000,2,light
1580662053000,2,light
1580662353000,2,light
1580662653000,2,light
1580662953000,2,light
1580663253000,2,light
1580663553000,2,light
1580663853000,2,light
1580664153000,2,light
