timestamp,hypnogram_level,hypnogram_class
1584180234000,2,light
1584180534000,2,light
1584180834000,1,deep
1584181134000,1,deep
1584181434000,1,deep
1584181734000,2,light
1584182034000,1,deep
1584182334000,1,deep
1584182634000,1,deep
1584182934000,1,deep
1584183234000,1,deep
1584183534000,1,deep
1584183834000,1,deep
1584184134000,2,light
1584184434000,1,deep
1584184734000,2,light
1584185034000,2,light
1584185334000,2,light
1584185634000,1,deep
1584185934000,1,deep
1584186234000,2,light
1584186534000,1,deep
1584186834000,1,deep
1584187134000,2,light
1584187434000,2,light
1584187734000,2,light
1584188034000,2,light
1584188334000,2,light
1584188634000,1,deep
1584188934000,1,deep
1584189234000,3,REM
1584189534000,3,REM
1584189834000,3,REM
1584190134000,2,light
1584190434000,2,light
1584190734000,2,light
1584191034000,1,deep
1584191334000,1,deep
1584191634000,2,light
1584191934000,2,light
1584192234000,2,light
1584192534000,1,deep
1584192834000,1,deep
1584193134000,2,light
1584193434000,2,light
1584193734000,2,light
1584194034000,2,light
1584194334000,2,light
1584194634000,2,light
1584194934000,2,light
1584195234000,2,light
1584195534000,2,light
1584195834000,3,REM
1584196134000,3,REM
1584196434000,3,REM
1584196734000,3,REM
1584197034000,3,REM
1584197334000,2,light
1584197634000,2,light
1584197934000,2,light
1584198234000,2,light
1584198534000,2,light
1584198834000,2,light
1584199134000,2,light
1584199434000,2,light
1584199734000,2,light
1584200034000,2,light
1584200334000,2,light
1584200634000,3,REM
1584200934000,3,REM
1584201234000,3,REM
1584201534000,3,REM
1584201834000,3,REM
1584202134000,3,REM
1584202434000,3,REM
1584202734000,2,light
1584203034000,2,light
1584203334000,3,REM
1584203634000,2,light
1584203934000,2,light
1584204234000,2,light
1584204534000,2,light
1584204834000,2,light
1584205134000,2,light
1584205434000,2,light
1584205734000,2,light
1584206034000,2,light
1584206334000,2,light
1584206634000,2,light
1584206934000,2,light
1584207234000,3,REM
1584207534000,3,REM
1584207834000,3,REM
1584208134000,3,REM
1584208434000,3,REM
1584208734000,3,REM
1584209034000,3,REM
1584209334000,3,REM
1584209634000,2,light
1584209934000,4,awake
1584210234000,4,awake
1584266941000,4,awake
1584267241000,4,awake
1584267541000,2,light
1584267841000,2,light
1584268141000,1,deep
1584268441000,1,deep
1584268741000,1,deep
1584269041000,1,deep
1584269341000,1,deep
1584269641000,2,light
1584269941000,2,light
1584270241000,1,deep
1584270541000,2,light
1584270841000,2,light
1584271141000,1,deep
1584271441000,1,deep
1584271741000,1,deep
1584272041000,1,deep
1584272341000,1,deep
1584272641000,1,deep
1584272941000,1,deep
1584273241000,1,deep
1584273541000,1,deep
1584273841000,1,deep
1584274141000,2,light
1584274441000,2,light
1584274741000,1,deep
1584275041000,2,light
1584275341000,2,light
1584275641000,1,deep
1584275941000,1,deep
1584276241000,1,deep
1584276541000,2,light
1584276841000,3,REM
1584277141000,1,deep
1584277441000,2,light
1584277741000,2,light
1584278041000,2,light
1584278341000,1,deep
1584278641000,1,deep
1584278941000,1,deep
1584279241000,1,deep
1584279541000,1,deep
1584279841000,1,deep
1584280141000,1,deep
1584280441000,1,deep
1584280741000,1,deep
1584281041000,2,light
1584281341000,2,light
1584281641000,2,light
1584281941000,1,deep
1584282241000,3,REM
1584282541000,1,deep
1584282841000,1,deep
1584283141000,3,REM
1584283441000,3,REM
1584283741000,3,REM
1584284041000,2,light
1584284341000,2,light
1584284641000,2,light
1584284941000,2,light
1584285241000,2,light
1584285541000,2,light
1584285841000,2,light
1584286141000,2,light
1584286441000,2,light
1584286741000,2,light
1584287041000,2,light
1584287341000,3,REM
1584287641000,3,REM
1584287941000,3,REM
1584288241000,3,REM
1584288541000,3,REM
1584288841000,3,REM
1584289141000,3,REM
1584289441000,3,REM
1584289741000,3,REM
1584290041000,3,REM
1584290341000,4,awake
1584290641000,2,light
1584290941000,2,light
1584291241000,2,light
1584291541000,2,light
1584291841000,2,light
1584292141000,2,light
1584292441000,2,light
1584292741000,3,REM
1584293041000,3,REM
1584293341000,3,REM
1584293641000,2,light
1584293941000,3,REM
1584294241000,3,REM
1584294541000,4,awake
1584294841000,4,awake
1584295141000,4,awake
1584295441000,4,awake
1584295741000,4,awake
1584296041000,4,awake
1584296341000,4,awake
1584348150000,4,awake
1584348450000,2,light
1584348750000,1,deep
1584349050000,2,light
1584349350000,2,light
1584349650000,2,light
1584349950000,1,deep
1584350250000,1,deep
1584350550000,1,deep
1584350850000,1,deep
1584351150000,2,light
1584351450000,2,light
1584351750000,2,light
1584352050000,2,light
1584352350000,2,light
1584352650000,1,deep
1584352950000,1,deep
1584353250000,1,deep
1584353550000,1,deep
1584353850000,1,deep
1584354150000,1,deep
1584354450000,1,deep
1584354750000,1,deep
1584355050000,1,deep
1584355350000,2,light
1584355650000,2,light
1584355950000,1,deep
1584356250000,1,deep
1584356550000,1,deep
1584356850000,1,deep
1584357150000,1,deep
1584357450000,1,deep
1584357750000,1,deep
1584358050000,1,deep
1584358350000,2,light
1584358650000,3,REM
1584358950000,3,REM
1584359250000,1,deep
1584359550000,2,light
1584359850000,2,light
1584360150000,2,light
1584360450000,2,light
1584360750000,2,light
1584361050000,2,light
1584361350000,2,light
1584361650000,2,light
1584361950000,2,light
1584362250000,2,light
1584362550000,2,light
1584362850000,1,deep
1584363150000,1,deep
1584363450000,2,light
1584363750000,2,light
1584364050000,2,light
1584364350000,2,light
1584364650000,2,light
1584364950000,2,light
1584365250000,2,light
1584365550000,2,light
1584365850000,2,light
1584366150000,3,REM
1584366450000,3,REM
1584366750000,2,light
1584367050000,2,light
1584367350000,3,REM
1584367650000,2,light
1584367950000,2,light
1584368250000,2,light
1584368550000,2,light
1584368850000,1,deep
1584369150000,2,light
1584369450000,2,light
1584369750000,2,light
1584370050000,2,light
1584370350000,2,light
1584370650000,2,light
1584370950000,2,light
1584371250000,3,REM
1584371550000,3,REM
1584371850000,3,REM
1584372150000,3,REM
1584372450000,3,REM
1584372750000,3,REM
1584373050000,2,light
1584373350000,2,light
1584373650000,3,REM
1584373950000,3,REM
1584374250000,3,REM
1584374550000,3,REM
1584374850000,3,REM
1584375150000,3,REM
1584375450000,3,REM
1584375750000,3,REM
1584376050000,3,REM
1584376350000,3,REM
1584376650000,3,REM
1584376950000,3,REM
1584377250000,3,REM
1584377550000,3,REM
1584377850000,3,REM
1584378150000,4,awake
1584378450000,4,awake
1584378750000,4,awake
1584379050000,4,awake
1584379350000,4,awake
1584379650000,4,awake
1584379950000,4,awake
1584380250000,4,awake
1584380550000,4,awake
1584442198000,4,awake
1584442498000,2,light
1584442798000,1,deep
1584443098000,1,deep
1584443398000,1,deep
1584443698000,1,deep
1584443998000,1,deep
1584444298000,1,deep
1584444598000,1,deep
1584444898000,1,deep
1584445198000,1,deep
1584445498000,1,deep
1584445798000,1,deep
1584446098000,1,deep
1584446398000,1,deep
1584446698000,3,REM
1584446998000,2,light
1584447298000,2,light
1584447598000,1,deep
1584447898000,1,deep
1584448198000,1,deep
1584448498000,2,light
1584448798000,2,light
1584449098000,1,deep
1584449398000,1,deep
1584449698000,1,deep
1584449998000,1,deep
1584450298000,1,deep
1584450598000,1,deep
1584450898000,1,deep
1584451198000,1,deep
1584451498000,1,deep
1584451798000,1,deep
1584452098000,1,deep
1584452398000,2,light
1584452698000,3,REM
1584452998000,3,REM
1584453298000,1,deep
1584453598000,2,light
1584453898000,1,deep
1584454198000,2,light
1584454498000,2,light
1584454798000,2,light
1584455098000,1,deep
1584455398000,1,deep
1584455698000,1,deep
1584455998000,1,deep
1584456298000,1,deep
1584456598000,2,light
1584456898000,2,light
1584457198000,2,light
1584457498000,2,light
1584457798000,2,light
1584458098000,2,light
1584458398000,3,REM
1584458698000,3,REM
1584458998000,1,deep
1584459298000,3,REM
1584459598000,3,REM
1584459898000,3,REM
1584460198000,2,light
1584460498000,2,light
1584460798000,1,deep
1584461098000,2,light
1584461398000,2,light
1584461698000,2,light
1584461998000,2,light
1584462298000,2,light
1584462598000,4,awake
1584462898000,4,awake
1584463198000,2,light
1584463498000,2,light
1584463798000,2,light
1584464098000,2,light
1584464398000,2,light
1584464698000,2,light
1584464998000,2,light
1584465298000,3,REM
1584465598000,3,REM
1584465898000,3,REM
1584466198000,3,REM
1584466498000,3,REM
1584466798000,3,REM
1584467098000,3,REM
1584467398000,3,REM
1584467698000,3,REM
1584467998000,3,REM
1584468298000,3,REM
1584468598000,3,REM
1584468898000,4,awake
1584469198000,4,awake
1584469498000,4,awake
1584469798000,2,light
1584470098000,2,light
1584470398000,2,light
1584470698000,2,light
1584470998000,3,REM
1584471298000,3,REM
1584471598000,3,REM
1584471898000,3,REM
1584472198000,4,awake
1584525877000,4,awake
1584526177000,1,deep
1584526477000,1,deep
1584526777000,1,deep
1584527077000,1,deep
1584527377000,1,deep
1584527677000,1,deep
1584527977000,1,deep
1584528277000,1,deep
1584528577000,2,light
1584528877000,2,light
1584529177000,1,deep
1584529477000,4,awake
1584529777000,4,awake
1584530077000,4,awake
1584530377000,3,REM
1584530677000,2,light
1584530977000,2,light
1584531277000,1,deep
1584531577000,1,deep
1584531877000,1,deep
1584532177000,1,deep
1584532477000,1,deep
1584532777000,1,deep
1584533077000,1,deep
1584533377000,1,deep
1584533677000,1,deep
1584533977000,1,deep
1584534277000,1,deep
1584534577000,1,deep
1584534877000,1,deep
1584535177000,2,light
1584535477000,1,deep
1584535777000,1,deep
1584536077000,2,light
1584536377000,3,REM
1584536677000,3,REM
1584536977000,1,deep
1584537277000,1,deep
1584537577000,1,deep
1584537877000,1,deep
1584538177000,2,light
1584538477000,2,light
1584538777000,1,deep
1584539077000,1,deep
1584539377000,1,deep
1584539677000,2,light
1584539977000,2,light
1584540277000,1,deep
1584540577000,1,deep
1584540877000,2,light
1584541177000,2,light
1584541477000,4,awake
1584541777000,2,light
1584542077000,1,deep
1584542377000,1,deep
1584542677000,1,deep
1584542977000,2,light
1584543277000,3,REM
1584543577000,3,REM
1584543877000,3,REM
1584544177000,3,REM
1584544477000,3,REM
1584544777000,4,awake
1584545077000,4,awake
1584612668000,4,awake
1584612968000,4,awake
1584613268000,4,awake
1584613568000,4,awake
1584613868000,2,light
1584614168000,1,deep
1584614468000,1,deep
1584614768000,1,deep
1584615068000,1,deep
1584615368000,1,deep
1584615668000,1,deep
1584615968000,1,deep
1584616268000,1,deep
1584616568000,2,light
1584616868000,1,deep
1584617168000,1,deep
1584617468000,1,deep
1584617768000,1,deep
1584618068000,1,deep
1584618368000,1,deep
1584618668000,2,light
1584618968000,2,light
1584619268000,1,deep
1584619568000,1,deep
1584619868000,1,deep
1584620168000,1,deep
1584620468000,1,deep
1584620768000,1,deep
1584621068000,2,light
1584621368000,1,deep
1584621668000,1,deep
1584621968000,1,deep
1584622268000,1,deep
1584622568000,1,deep
1584622868000,2,light
1584623168000,3,REM
1584623468000,3,REM
1584623768000,2,light
1584624068000,2,light
1584624368000,2,light
1584624668000,2,light
1584624968000,2,light
1584625268000,1,deep
1584625568000,1,deep
1584625868000,1,deep
1584626168000,2,light
1584626468000,2,light
1584626768000,1,deep
1584627068000,1,deep
1584627368000,1,deep
1584627668000,1,deep
1584627968000,2,light
1584628268000,3,REM
1584628568000,3,REM
1584628868000,3,REM
1584629168000,3,REM
1584629468000,3,REM
1584629768000,2,light
1584630068000,2,light
1584630368000,3,REM
1584630668000,2,light
1584630968000,2,light
1584631268000,1,deep
1584631568000,1,deep
1584631868000,1,deep
1584632168000,2,light
1584632468000,1,deep
1584632768000,1,deep
1584633068000,2,light
1584633368000,3,REM
1584633668000,3,REM
1584633968000,3,REM
1584634268000,3,REM
1584634568000,3,REM
1584634868000,3,REM
1584635168000,4,awake
1584635468000,4,awake
1584635768000,4,awake
1584636068000,3,REM
1584636368000,3,REM
1584636668000,3,REM
1584636968000,4,awake
1584637268000,4,awake
1584637568000,3,REM
1584637868000,4,awake
1584638168000,4,awake
1584638468000,4,awake
1584638768000,4,awake
1584692932000,4,awake
1584693232000,2,light
1584693532000,1,deep
1584693832000,2,light
1584694132000,4,awake
1584694432000,4,awake
1584694732000,3,REM
1584695032000,2,light
1584695332000,2,light
1584695632000,1,deep
1584695932000,1,deep
1584696232000,1,deep
1584696532000,1,deep
1584696832000,1,deep
1584697132000,1,deep
1584697432000,2,light
1584697732000,2,light
1584698032000,1,deep
1584698332000,1,deep
1584698632000,1,deep
1584698932000,1,deep
1584699232000,1,deep
1584699532000,1,deep
1584699832000,1,deep
1584700132000,1,deep
1584700432000,1,deep
1584700732000,2,light
1584701032000,2,light
1584701332000,2,light
1584701632000,1,deep
1584701932000,1,deep
1584702232000,1,deep
1584702532000,1,deep
1584702832000,1,deep
1584703132000,1,deep
1584703432000,1,deep
1584703732000,1,deep
1584704032000,1,deep
1584704332000,2,light
1584704632000,1,deep
1584704932000,2,light
1584705232000,2,light
1584705532000,2,light
1584705832000,2,light
1584706132000,2,light
1584706432000,2,light
1584706732000,1,deep
1584707032000,1,deep
1584707332000,1,deep
1584707632000,2,light
1584707932000,2,light
1584708232000,2,light
1584708532000,1,deep
1584708832000,2,light
1584709132000,2,light
1584709432000,2,light
1584709732000,2,light
1584710032000,3,REM
1584710332000,3,REM
1584710632000,3,REM
1584710932000,3,REM
1584711232000,3,REM
1584711532000,2,light
1584711832000,2,light
1584712132000,1,deep
1584712432000,1,deep
1584712732000,1,deep
1584713032000,1,deep
1584713332000,1,deep
1584713632000,2,light
1584713932000,2,light
1584714232000,2,light
1584714532000,1,deep
1584714832000,1,deep
1584715132000,2,light
1584715432000,3,REM
1584715732000,3,REM
1584716032000,3,REM
1584716332000,3,REM
1584716632000,3,REM
1584716932000,3,REM
1584717232000,3,REM
1584717532000,3,REM
1584717832000,2,light
1584718132000,2,light
1584718432000,2,light
1584718732000,3,REM
1584719032000,3,REM
1584719332000,3,REM
1584719632000,3,REM
1584719932000,3,REM
1584720232000,3,REM
1584720532000,3,REM
1584720832000,3,REM
1584721132000,3,REM
1584721432000,3,REM
1584721732000,4,awake
1584773442000,4,awake
1584773742000,4,awake
1584774042000,2,light
1584774342000,1,deep
1584774642000,1,deep
1584774942000,1,deep
1584775242000,1,deep
1584775542000,1,deep
1584775842000,1,deep
1584776142000,1,deep
1584776442000,1,deep
1584776742000,1,deep
1584777042000,1,deep
1584777342000,1,deep
1584777642000,1,deep
1584777942000,1,deep
1584778242000,1,deep
1584778542000,1,deep
1584778842000,2,light
1584779142000,2,light
1584779442000,1,deep
1584779742000,1,deep
1584780042000,2,light
1584780342000,2,light
1584780642000,2,light
1584780942000,2,light
1584781242000,2,light
1584781542000,2,light
1584781842000,2,light
1584782142000,2,light
1584782442000,2,light
1584782742000,2,light
1584783042000,2,light
1584783342000,2,light
1584783642000,2,light
1584783942000,2,light
1584784242000,2,light
1584784542000,2,light
1584784842000,3,REM
1584785142000,1,deep
1584785442000,1,deep
1584785742000,2,light
1584786042000,2,light
1584786342000,2,light
1584786642000,2,light
1584786942000,1,deep
1584787242000,1,deep
1584787542000,1,deep
1584787842000,1,deep
1584788142000,1,deep
1584788442000,1,deep
1584788742000,1,deep
1584789042000,1,deep
1584789342000,1,deep
1584789642000,2,light
1584789942000,2,light
1584790242000,2,light
1584790542000,2,light
1584790842000,2,light
1584791142000,2,light
1584791442000,2,light
1584791742000,3,REM
1584792042000,3,REM
1584792342000,3,REM
1584792642000,3,REM
1584792942000,2,light
1584793242000,3,REM
1584793542000,3,REM
1584793842000,2,light
1584794142000,2,light
1584794442000,2,light
1584794742000,2,light
1584795042000,2,light
1584795342000,2,light
1584795642000,1,deep
1584795942000,1,deep
1584796242000,2,light
1584796542000,2,light
1584796842000,2,light
1584797142000,2,light
1584797442000,2,light
1584797742000,2,light
1584798042000,2,light
1584798342000,2,light
1584798642000,3,REM
1584798942000,3,REM
1584799242000,3,REM
1584799542000,3,REM
1584799842000,3,REM
1584800142000,3,REM
1584800442000,3,REM
1584800742000,2,light
1584801042000,2,light
1584801342000,2,light
1584801642000,2,light
1584801942000,2,light
1584802242000,2,light
1584802542000,2,light
1584802842000,2,light
1584803142000,2,light
1584803442000,2,light
1584803742000,2,light
1584804042000,4,awake
1584804342000,3,REM
1584804642000,3,REM
1584804942000,3,REM
1584805242000,3,REM
1584805542000,3,REM
1584805842000,3,REM
1584806142000,3,REM
1584806442000,3,REM
1584806742000,3,REM
1584807042000,3,REM
1584807342000,3,REM
1584807642000,3,REM
1584807942000,3,REM
1584808242000,2,light
1584808542000,2,light
1584808842000,2,light
1584809142000,3,REM
1584809442000,3,REM
1584809742000,3,REM
1584810042000,3,REM
1584810342000,3,REM
1584810642000,3,REM
1584810942000,3,REM
1584811242000,3,REM
1584811542000,3,REM
1584811842000,3,REM
1584812142000,4,awake
1584812442000,4,awake
1584812742000,4,awake
1584813042000,4,awake
1584813342000,4,awake
1584868017000,4,awake
1584868317000,2,light
1584868617000,1,deep
1584868917000,1,deep
1584869217000,2,light
1584869517000,1,deep
1584869817000,1,deep
1584870117000,1,deep
1584870417000,1,deep
1584870717000,1,deep
1584871017000,1,deep
1584871317000,1,deep
1584871617000,1,deep
1584871917000,1,deep
1584872217000,1,deep
1584872517000,1,deep
1584872817000,1,deep
1584873117000,1,deep
1584873417000,2,light
1584873717000,2,light
1584874017000,1,deep
1584874317000,1,deep
1584874617000,1,deep
1584874917000,2,light
1584875217000,2,light
1584875517000,1,deep
1584875817000,1,deep
1584876117000,1,deep
1584876417000,1,deep
1584876717000,1,deep
1584877017000,1,deep
1584877317000,3,REM
1584877617000,3,REM
1584877917000,1,deep
1584878217000,1,deep
1584878517000,1,deep
1584878817000,1,deep
1584879117000,1,deep
1584879417000,2,light
1584879717000,1,deep
1584880017000,1,deep
1584880317000,2,light
1584880617000,1,deep
1584880917000,1,deep
1584881217000,2,light
1584881517000,1,deep
1584881817000,1,deep
1584882117000,1,deep
1584882417000,2,light
1584882717000,1,deep
1584883017000,1,deep
1584883317000,1,deep
1584883617000,1,deep
1584883917000,1,deep
1584884217000,1,deep
1584884517000,1,deep
1584884817000,3,REM
1584885117000,3,REM
1584885417000,3,REM
1584885717000,3,REM
1584886017000,2,light
1584886317000,2,light
1584886617000,2,light
1584886917000,2,light
1584887217000,2,light
1584887517000,1,deep
1584887817000,2,light
1584888117000,2,light
1584888417000,2,light
1584888717000,2,light
1584889017000,2,light
1584889317000,1,deep
1584889617000,3,REM
1584889917000,3,REM
1584890217000,3,REM
1584890517000,3,REM
1584890817000,3,REM
1584891117000,3,REM
1584891417000,3,REM
1584891717000,2,light
1584892017000,2,light
1584892317000,2,light
1584892617000,2,light
1584892917000,2,light
1584893217000,2,light
1584893517000,2,light
1584893817000,2,light
1584894117000,2,light
1584894417000,2,light
1584894717000,2,light
1584895017000,3,REM
1584895317000,3,REM
1584895617000,3,REM
1584895917000,3,REM
1584896217000,3,REM
1584896517000,3,REM
1584896817000,3,REM
1584897117000,3,REM
1584897417000,2,light
1584897717000,2,light
1584898017000,2,light
1584898317000,2,light
1584898617000,2,light
1584898917000,2,light
1584899217000,2,light
1584899517000,3,REM
1584899817000,3,REM
1584900117000,3,REM
1584900417000,3,REM
1584900717000,3,REM
1584901017000,3,REM
1584901317000,3,REM
1584901617000,4,awake
1584901917000,4,awake
1584902217000,4,awake
1584902517000,3,REM
1584902817000,4,awake
1584903117000,4,awake
1584955668000,4,awake
1584955968000,2,light
1584956268000,2,light
1584956568000,2,light
1584956868000,2,light
1584957168000,1,deep
1584957468000,1,deep
1584957768000,1,deep
1584958068000,1,deep
1584958368000,1,deep
1584958668000,1,deep
1584958968000,1,deep
1584959268000,1,deep
1584959568000,1,deep
1584959868000,3,REM
1584960168000,1,deep
1584960468000,1,deep
1584960768000,1,deep
1584961068000,1,deep
1584961368000,1,deep
1584961668000,1,deep
1584961968000,1,deep
1584962268000,1,deep
1584962568000,1,deep
1584962868000,1,deep
1584963168000,1,deep
1584963468000,2,light
1584963768000,1,deep
1584964068000,1,deep
1584964368000,1,deep
1584964668000,2,light
1584964968000,2,light
1584965268000,1,deep
